States + DC,Count,# of Records,Total $,Average Contribution per Record,% of Total Races,% of Total Records,% of Total $,Alabama _Ivey_2022,# of Records,Total $,Alaska _Dunleavy_2022,# of Records,Total $,Arizona _Hobbs_2022,# of Records,Total $,Arkansas _Huckabee_Sanders_2022,# of Records,Total $,California _Newsom_2022,# of Records,Total $,Colorado _Polis_2022,# of Records,Total $,Connecticut _Lamont_2022,# of Records,Total $,Delaware _Meyer_2024,# of Records,Total $,Florida _DeSantis_2022,# of Records,Total $,Georgia _Kemp_2022,# of Records,Total $,Hawaii _Green_2022,# of Records,Total $,Idaho _Little_2022,# of Records,Total $,Illinois _Pritzker_2022,# of Records,Total $,Indiana _Braun_2024,# of Records,Total $,Iowa _Reynolds_2022,# of Records,Total $,Kansas _Kelly_2022,# of Records,Total $,Kentucky _Beshear_2023,# of Records,Total $,Louisiana _Landry_2023,# of Records,Total $,Maine _Mills_2022,# of Records,Total $,Maryland _Moore_2022,# of Records,Total $,Massachusetts _Healey_2022,# of Records,Total $,Michigan _Whitmer_2022,# of Records,Total $,Minnesota _Walz_2022,# of Records,Total $,Mississippi _Reeves_2023,# of Records,Total $,Missouri _Parson_2020,# of Records,Total $,Montana _Gianforte_2024,# of Records,Total $,Nebraska _Pillen_2022,# of Records,Total $,Nevada _Lombardo_2022,# of Records,Total $,New Hampshire _Ayotte_2024,# of Records,Total $,New Jersey _Murphy_2021,# of Records,Total $,New Mexico _Lujan_Grisham_2022,# of Records,Total $,New York _Hochul_2022,# of Records,Total $,North Carolina _Cooper_2020,# of Records,Total $,North Dakota _Armstrong_2024,# of Records,Total $,Ohio _DeWine_2022,# of Records,Total $,Oklahoma _Stitt_2022,# of Records,Total $,Oregon _Kotek_2022,# of Records,Total $,Pennsylvania _Shapiro_2022,# of Records,Total $,Rhode Island _McKee_2022,# of Records,Total $,South Carolina _McMaster_2022,# of Records,Total $,South Dakota _Noem_2022,# of Records,Total $,Tennessee _Lee_2022,# of Records,Total $,Texas _Abbott_2022,# of Records,Total $,Utah _Cox_2024,# of Records,Total $,Vermont _Scott_2024,# of Records,Total $,Virginia _Youngkin_2021,# of Records,Total $,Washington _Ferguson_2024,# of Records,Total $,West Virginia _Morrisey_2024,# of Records,Total $,Wisconsin _Evers_2022,# of Records,Total $,Wyoming _Gordon_2022,# of Records,Total $
MA,46,63246,14074740,222.5396072,92%,2.23%,1.04%,MA,3,$77,MA,1,$25,MA,"5,863","$466,520",MA,"1,169","$73,657",MA,114,"$49,145",MA,58,"$2,806",MA,69,"$19,723",MA,66,"$27,425",MA,"3,663","$1,408,717",MA,38,"$30,346",MA,21,"$34,574",MA,1,$100,,,,MA,4,"$22,650",MA,116,"$23,588",MA,501,"$100,155",MA,281,"$139,572",MA,50,"$17,308",MA,"1,260","$267,818",MA,573,"$88,622",MA,"25,809","$6,913,188",MA,"6,848","$711,960",MA,114,"$32,353",MA,2,"$2,000.00",,,,,,,MA,1,"$5,000",MA,5,"$2,950",MA,280,"$663,943",MA,48,"$116,250",MA,406,"$94,531",MA,263,"$540,307",MA,825,"$95,104",MA,1,"$2,500",MA,10,"$21,265",MA,1,$500,MA,67,"$104,091",MA,"2,316","$701,891",MA,490,"$263,953",MA,32,"$16,238",MA,657,"$56,200",MA,3,"$12,900",MA,"4,273","$171,892",,,,MA,2,$700,MA,298,"$88,453",MA,44,"$27,213.00",MA,157,"$6,368",MA,"6,574","$696,485",MA,4,$825
MD,48,57583,13973192.68,242.6617696,96%,2.03%,1.03%,MD,4,$544,MD,4,"$2,302",MD,"4,398","$281,775",MD,"1,207","$94,163",MD,81,"$33,938",MD,54,"$1,744",MD,3,"$1,500",MD,165,"$91,500",MD,"3,023","$800,579",MD,57,"$81,453",MD,26,"$42,219",MD,4,"$2,250",,,,MD,9,"$23,750",MD,289,"$18,356",MD,403,"$74,258",MD,203,"$98,255",MD,45,"$17,246",MD,262,"$68,082",MD,"26,803","$8,345,839",MD,111,"$39,409",MD,"4,932","$389,530",MD,112,"$36,205",MD,4,"$57,000.00",MD,3,"$6,250",MD,13,"$4,140",MD,1,"$2,500",,,,MD,34,"$47,450",MD,34,"$46,150",MD,348,"$158,715",MD,245,"$416,219",MD,757,"$157,427",MD,7,"$20,500",MD,25,"$50,083",MD,19,"$6,460",MD,50,"$190,399",MD,"2,213","$938,677",MD,15,"$6,876",MD,45,"$14,418",MD,784,"$66,108",MD,2,"$6,800",MD,"5,201","$362,444",MD,11,"$45,573",MD,2,"$1,000",MD,986,"$379,770",MD,28,"$21,173.68",MD,201,"$17,396",MD,"4,527","$496,767",MD,1,"$1,000"
ME,35,31326,4419888,141.0932771,70%,1.10%,0.33%,,,,,,,ME,719,"$39,891",ME,284,"$33,608",ME,8,"$15,650",ME,15,$369,ME,3,"$2,500",ME,2,"$2,400",ME,726,"$36,414",,,,ME,2,"$1,250",,,,,,,,,,ME,15,$722,ME,41,"$8,355",ME,28,"$2,710",ME,10,"$5,230",ME,"26,071","$3,904,721",ME,64,"$5,364",ME,73,"$19,098",ME,817,"$39,167",ME,5,"$1,050",,,,ME,1,$250,,,,,,,,,,ME,22,"$110,000",ME,2,"$5,400",ME,106,"$4,608",ME,80,"$42,898",ME,127,"$19,715",,,,,,,,,,ME,5,"$1,350",ME,212,"$30,683",ME,1,$37,ME,3,$60,ME,175,"$10,810",,,,ME,869,"$24,870",,,,ME,1,$200,ME,44,"$6,558",ME,1,$100.00,ME,99,"$6,974",ME,699,"$41,576",ME,1,$200
MI,44,212891,27013888,126.8906999,88%,7.50%,2.00%,MI,12,"$4,203",MI,4,"$1,650",MI,"2,446","$92,199",MI,"2,156","$167,111",MI,38,"$47,853",MI,31,$930,MI,6,"$1,255",MI,22,"$4,119",MI,"5,653","$1,669,721",MI,30,"$199,450",MI,3,"$7,500",MI,2,"$1,000",,,,MI,29,"$165,500",MI,314,"$33,964",MI,209,"$23,327",MI,129,"$62,725",MI,58,"$16,477",MI,59,"$9,063",MI,192,"$28,877",MI,22,"$2,878",MI,"186,292","$22,831,352",MI,17,"$4,150",MI,3,"$3,000.00",,,,MI,11,"$8,995",,,,MI,3,"$5,000",,,,MI,6,"$20,600",MI,159,"$9,314",MI,72,"$105,647",MI,229,"$54,882",MI,1,"$5,000",MI,37,"$163,142",MI,3,"$4,200",MI,9,"$1,425",MI,852,"$153,781",MI,1,$1,MI,46,"$21,186",MI,"1,592","$211,551",MI,22,"$61,500",MI,"7,728","$407,844",MI,2,"$3,500",,,,MI,327,"$213,853",MI,9,$398.00,MI,413,"$18,686",MI,"3,670","$170,453",,,
MN,47,55357,10530894,190.2359954,94%,1.95%,0.78%,MN,1,$2,MN,1,"$100,000",MN,"2,041","$98,527",MN,"1,095","$72,200",MN,23,"$65,960",MN,19,$382,MN,2,"$2,000",MN,3,"$1,125",MN,"2,730","$893,849",MN,22,"$72,076",MN,8,"$7,660",MN,1,"$1,000",,,,MN,11,"$69,771",MN,291,"$106,625",MN,165,"$43,349",MN,157,"$158,105",MN,39,"$13,181",MN,62,"$6,290",MN,111,"$29,458",MN,17,"$3,324",MN,"3,254","$162,719",MN,"31,595","$7,124,836",MN,2,"$2,000.00",MN,2,"$2,250",MN,6,$422,MN,14,"$37,943",MN,4,"$11,250",,,,MN,1,"$4,900",MN,162,"$25,183",MN,61,"$93,960",MN,136,"$17,090",MN,31,"$98,074",MN,7,"$34,496",MN,2,"$4,500",MN,12,"$6,950",MN,434,"$168,441",MN,2,$8,MN,17,"$2,059",MN,"1,988","$237,186",MN,4,"$20,900",MN,"3,341","$147,476",MN,5,"$13,582",,,,MN,146,"$23,372",MN,20,$930.00,MN,166,"$8,820",MN,"7,149","$539,738",MN,2,$50
MO,49,25123,10197294,405.8947578,98%,0.88%,0.76%,MO,1,$525,MO,2,"$5,022",MO,"1,353","$61,608",MO,"1,670","$352,887",MO,38,"$94,690",MO,27,$655,,,,MO,5,"$3,061",MO,"2,794","$1,133,283",MO,112,"$391,552",MO,10,"$43,250",MO,6,"$16,510",MO,1,$793,MO,9,"$62,500",MO,237,"$114,176",MO,"1,018","$397,672",MO,61,"$55,956",MO,66,"$38,671",MO,59,"$20,520",MO,99,"$20,271",MO,20,"$6,622",MO,"1,895","$174,451",MO,44,"$7,450",MO,11,"$144,850.00",MO,"6,901","$5,085,774",MO,4,"$1,720",MO,18,"$61,875",MO,2,$104,MO,3,"$12,000",MO,5,"$16,700",MO,126,"$121,501",MO,68,"$123,630",MO,153,"$71,142",MO,2,"$11,500",MO,19,"$119,804",MO,13,"$35,300",MO,26,"$84,107",MO,532,"$150,596",MO,5,"$3,512",MO,32,"$104,168",MO,732,"$91,449",MO,7,"$39,000",MO,"4,935","$364,115",MO,20,"$73,646",MO,3,"$4,980",MO,211,"$281,492",MO,10,"$4,093.00",MO,298,"$16,437",MO,"1,463","$172,235",MO,2,"$2,500"
MS,37,8826,10118248.02,1146.41378,74%,0.31%,0.75%,MS,9,"$72,056",,,,MS,142,"$5,457",MS,582,"$127,329",MS,1,$20,,,,,,,,,,MS,949,"$55,515",MS,44,"$161,963",MS,1,"$1,000",,,,,,,MS,4,"$1,560",MS,80,"$4,220",MS,4,$175,MS,15,"$13,700",MS,85,"$143,690",MS,1,$250,MS,19,"$1,840",MS,3,$51,MS,232,"$9,316",MS,15,$570,MS,3755,"$9,155,350.02",,,,MS,7,"$4,980",,,,MS,3,"$3,004",MS,1,"$2,000",,,,MS,15,"$34,103",MS,5,"$5,515",MS,51,"$32,039",MS,2,"$2,000",MS,6,"$7,500",,,,MS,2,"$1,500",MS,49,"$5,455",MS,1,$1,MS,14,"$7,970",MS,193,"$23,344",MS,18,"$34,400",MS,"2,095","$141,063",,,,,,,MS,108,"$38,646",MS,4,"$6,000.00",MS,175,"$8,776",MS,136,"$5,890",,,
MT,34,9513,3084849,324.2771996,68%,0.33%,0.23%,,,,,,,MT,331,"$12,061",MT,346,"$26,940",MT,5,"$10,750",MT,18,$640,MT,1,$103,,,,MT,631,"$66,446",,,,,,,MT,2,"$5,050",,,,MT,2,$760,MT,47,$981,MT,25,"$3,986",MT,25,"$2,464",MT,8,"$5,400",MT,1,$100,MT,15,"$5,271",MT,2,"$1,025",MT,438,"$25,972",MT,9,"$13,100",,,,,,,MT,"5,420","$2,668,812",MT,1,$250,MT,4,"$20,000",,,,MT,2,"$9,800",MT,38,"$7,284",MT,8,"$5,668",MT,31,"$1,084",,,,,,,,,,MT,5,"$5,700",MT,71,"$7,244",,,,MT,9,"$4,048",MT,380,"$73,453",,,,MT,"1,183","$65,746",,,,,,,MT,83,"$12,694",MT,12,"$7,024.00",MT,57,"$3,364",MT,299,"$10,082",MT,5,"$1,650"
NC,49,110495,37777382,341.8922304,98%,3.89%,2.80%,NC,1,$30,NC,2,"$1,100",NC,"2,284","$72,110",NC,"1,755","$269,531",NC,48,"$4,000",NC,22,$684,NC,3,$280,NC,11,"$7,050",NC,"4,896","$501,791",NC,87,"$198,458",NC,4,"$7,000",NC,5,"$7,500",,,,NC,8,"$53,500",NC,229,"$24,198",NC,182,"$28,217",NC,98,"$64,992",NC,57,"$23,347",NC,96,"$15,278",NC,314,"$60,956",NC,38,"$7,379",NC,"3,310","$153,666",NC,23,"$6,925",NC,5,"$8,500.00",NC,3,"$5,350",NC,3,$250,NC,2,"$10,000",NC,5,"$14,000",NC,8,"$22,771",NC,17,"$43,300",NC,200,"$24,373",NC,82,"$72,263",NC,"85,468","$34,937,958",NC,3,"$15,000",NC,16,"$40,847",NC,8,"$5,425",NC,13,"$12,490",NC,625,"$64,656",NC,3,$150,NC,213,"$274,885",NC,978,"$147,310",NC,34,"$53,858",NC,"6,179","$253,268",NC,4,"$17,520",NC,1,"$1,000",NC,661,"$102,588",NC,18,"$5,955.00",NC,348,"$32,542",NC,"2,131","$99,111",NC,8,"$11,350"
ND,30,2353,3070093,1304.756906,60%,0.08%,0.23%,,,,,,,ND,108,"$1,928",ND,151,"$8,917",ND,1,"$16,000",,,,,,,,,,ND,325,"$23,364",,,,,,,,,,,,,ND,1,"$5,000",ND,47,"$2,872",ND,1,"$2,000",ND,3,"$2,150",ND,3,$55,ND,7,$100,ND,3,$30,ND,1,$50,ND,122,"$2,897",ND,8,"$4,350",,,,,,,ND,38,"$29,350",ND,1,"$2,000",ND,1,"$2,000",ND,1,"$2,500",,,,ND,5,$255,ND,1,"$2,500",ND,3,$150,ND,459,"$2,874,030",ND,1,"$2,000",,,,,,,ND,27,$726,,,,,,,ND,366,"$48,876",,,,ND,539,"$22,018",,,,,,,ND,8,"$6,291",,,,ND,37,"$2,187",ND,84,"$3,497",ND,1,"$2,000"
NE,41,8038,11007790,1369.468773,82%,0.28%,0.82%,NE,20,"$1,071",NE,1,$250,NE,202,"$14,889",NE,457,"$25,594",NE,5,"$15,100",NE,4,$240,,,,,,,NE,964,"$87,461",NE,74,"$5,434",NE,3,"$9,054",NE,2,$200,,,,NE,7,"$11,290",NE,346,"$36,356",NE,64,"$5,871",NE,4,"$4,725",NE,29,"$3,451",NE,7,$700,NE,26,"$6,508",NE,1,"$1,000",NE,418,"$27,846",NE,20,"$1,615",NE,1,"$1,000.00",,,,,,,NE,"1,770","$10,397,433",NE,3,"$15,000",,,,,,,NE,25,"$16,373",NE,26,"$27,612",NE,17,$268,NE,1,"$1,000",NE,8,"$15,826",NE,10,"$9,400",NE,10,"$3,833",NE,65,"$14,002",,,,NE,8,"$3,610",NE,632,"$51,759",NE,9,"$31,400",NE,"2,306","$90,437",NE,2,"$5,000",,,,NE,64,"$38,263",NE,1,$500.00,NE,53,"$3,108",NE,370,"$17,811",NE,3,"$5,500"
NH,36,7341,4031018,549.110203,72%,0.26%,0.30%,,,,,,,NH,529,"$21,738",NH,313,"$24,679",NH,21,"$2,343",NH,2,$80,NH,15,"$8,190",NH,8,"$2,075",NH,"1,040","$171,444",NH,1,$600,NH,1,"$1,000",,,,,,,NH,2,"$10,000",NH,27,$898,NH,10,"$2,222",NH,13,"$8,411",NH,6,$405,NH,189,"$29,176",NH,58,"$19,269",NH,239,"$88,318",NH,815,"$58,570",NH,6,"$3,000",,,,,,,,,,,,,NH,4,$825,NH,"1,872","$3,293,710",NH,12,"$35,300",NH,39,"$3,141",NH,23,"$110,727",NH,76,"$3,620",,,,,,,NH,4,"$2,952",,,,NH,144,"$21,359",NH,8,"$4,100",NH,4,"$3,555",NH,216,"$18,875",NH,1,$500,NH,"1,074","$56,201",,,,NH,2,"$4,980",NH,68,"$3,776",,,,NH,34,"$1,609",NH,488,"$23,635",,,
NJ,48,36363,27194572,747.8638176,96%,1.28%,2.01%,NJ,13,$295,NJ,5,"$1,020",NJ,"4,053","$163,355",NJ,"1,504","$94,171",NJ,63,"$87,957",NJ,26,$630,NJ,7,$957,NJ,116,"$79,162",NJ,"5,301","$1,825,512",NJ,107,"$101,026",NJ,11,"$8,975",NJ,6,"$1,560",,,,NJ,5,"$19,000",NJ,174,"$13,671",NJ,263,"$39,315",NJ,98,"$30,847",NJ,66,"$12,647",NJ,151,"$24,656",NJ,542,"$230,558",NJ,145,"$42,028",NJ,"5,386","$210,932",NJ,26,"$18,385",NJ,4,"$3,000.00",NJ,2,"$1,750",NJ,11,"$7,778",NJ,1,"$2,000",NJ,4,"$11,250",NJ,7,"$12,318",NJ,"2,408","$20,377,002",NJ,346,"$47,266",NJ,644,"$2,106,579",NJ,539,"$92,660",NJ,1,"$1,000",NJ,16,"$25,984",NJ,7,"$11,700",NJ,24,"$12,868",NJ,"2,795","$845,807",NJ,31,"$25,150",NJ,28,"$11,278",NJ,826,"$47,703",NJ,5,"$5,000",NJ,"5,694","$273,395",NJ,3,"$6,600",NJ,1,$300,NJ,356,"$88,404",NJ,66,"$6,578.00",NJ,250,"$19,928",NJ,"4,349","$224,734",,,
NM,33,43243,9039117,209.0307564,66%,1.52%,0.67%,,,,NM,1,$10,NM,"1,943","$96,021",NM,534,"$35,931",NM,22,"$1,400",NM,36,"$1,437",,,,,,,NM,932,"$46,320",NM,14,"$2,205",NM,4,$185,,,,,,,,,,NM,106,"$2,263",NM,153,"$11,852",NM,11,"$1,578",NM,13,$967,NM,42,"$2,454",NM,96,"$1,822",NM,5,"$1,470",NM,"1,762","$61,759",NM,12,"$1,500",,,,,,,,,,,,,NM,6,"$1,300",,,,,,,NM,"32,642","$8,475,246",NM,71,"$17,856",NM,119,"$13,944",,,,NM,2,$510,NM,16,"$2,160",NM,9,"$1,400",NM,360,"$28,328",NM,1,$25,NM,7,"$5,643",NM,318,"$26,761",,,,NM,"2,472","$98,088",,,,,,,NM,90,"$8,598",NM,41,"$10,061.00",NM,107,"$6,475",NM,"1,296","$73,548",,,
NV,46,17934,25065241,1397.638062,92%,0.63%,1.86%,NV,1,$5,NV,6,"$1,499",NV,"1,196","$80,870",NV,"1,219","$70,232",NV,60,"$84,979",NV,31,$971,NV,2,$50,NV,2,"$2,400",NV,"2,134","$12,036,409",NV,48,"$1,138,438",NV,14,"$38,100",NV,5,"$6,750",,,,NV,1,$104,NV,166,"$13,234",NV,33,"$14,540",NV,18,"$25,845",NV,16,"$17,644",NV,5,"$2,725",NV,56,"$19,746",NV,22,"$6,203",NV,"1,124","$112,478",NV,9,"$15,325",NV,9,"$18,500.00",NV,4,"$5,850",NV,34,"$32,860",NV,2,"$15,000",NV,"5,377","$9,139,386",NV,2,"$10,000",,,,NV,70,"$43,727",NV,35,"$38,338",NV,61,"$3,867",,,,NV,2,"$5,231",NV,8,"$5,927",NV,3,"$6,250",NV,222,"$35,374",NV,10,"$8,510",NV,12,"$6,158",NV,662,"$76,545",NV,1,"$4,300",NV,"4,157","$1,689,610",NV,4,"$118,500",,,,NV,223,"$54,372",NV,29,"$2,724.00",NV,211,"$24,737",NV,629,"$29,578",NV,3,"$3,800"
NY,49,105919,64655979.27,610.4285281,98%,3.73%,4.79%,NY,20,"$41,041",NY,4,"$2,535",NY,"11,437","$879,307",NY,"2,817","$254,865",NY,276,"$259,965",NY,103,"$5,283",NY,203,"$118,718",NY,228,"$108,123",NY,"9,889","$5,371,269",NY,96,"$228,644",NY,111,"$106,366",NY,4,"$10,100",,,,NY,19,"$201,500",NY,495,"$54,976",NY,977,"$242,370",NY,396,"$246,525",NY,62,"$24,309",NY,851,"$258,377",NY,"2,539","$1,656,320",NY,569,"$205,160",NY,"15,196","$1,593,393",NY,262,"$117,971",NY,3,"$1,500.00",NY,8,"$20,850",NY,16,"$10,955",NY,5,"$6,000",NY,22,"$55,775",NY,24,"$60,137",NY,493,"$1,604,351",NY,916,"$379,906",NY,"23,869","$42,806,143",NY,"2,245","$882,394",NY,5,"$4,000",NY,24,"$70,703",NY,21,"$16,045",NY,121,"$327,793",NY,"5,647","$3,558,585",NY,102,"$63,825",NY,57,"$24,329",NY,"1,558","$193,890",NY,13,"$52,204",NY,"10,638","$469,034",NY,10,"$150,721",NY,5,"$1,600",NY,856,"$263,466",NY,112,"$45,948.27",NY,502,"$31,687",NY,"12,519","$1,787,112",NY,5,"$6,750"
OH,45,42070,26884293.81,639.0371716,90%,1.48%,1.99%,OH,15,"$55,093",,,,OH,"1,938","$69,841",OH,"2,198","$160,682",OH,37,"$73,783",OH,8,$165,,,,OH,8,"$6,100",OH,"5,890","$969,781",OH,93,"$272,938",OH,6,"$11,125",OH,5,"$3,276",,,,OH,30,"$115,612",OH,299,"$50,194",OH,191,"$33,884",OH,464,"$301,470",OH,66,"$24,197",OH,62,"$15,055",OH,201,"$92,000",OH,46,"$2,400",OH,"4,809","$319,929",OH,42,"$10,780",OH,17,"$88,010.00",OH,9,"$8,856",OH,2,"$1,000",,,,OH,17,"$28,954",OH,4,"$12,033",OH,4,"$9,900",OH,247,"$16,145",OH,95,"$33,942",OH,257,"$29,219",OH,9,"$56,000",OH,"12,261","$22,882,964",OH,8,"$10,453",OH,7,"$8,940",OH,772,"$151,258",OH,20,$689,OH,27,"$29,843",OH,"1,347","$111,712",OH,3,"$5,700",OH,"7,117","$306,982",OH,7,"$33,500",,,,OH,380,"$209,227",OH,25,"$131,208.81",OH,478,"$48,494",OH,"2,554","$85,059",OH,3,"$2,000"
OK,41,22125,12732576,575.483661,82%,0.78%,0.94%,,,,,,,OK,467,"$26,787",OK,"1,214","$171,408",OK,5,"$10,110",OK,13,$372,OK,1,$52,OK,40,"$1,087",OK,"1,522","$101,456",OK,27,"$40,826",OK,1,"$6,000",,,,,,,OK,4,"$5,165",OK,182,"$5,297",OK,101,"$24,565",OK,20,"$20,535",OK,20,"$16,450",OK,13,"$3,375",OK,41,$881,OK,17,"$3,317",OK,717,"$273,082",OK,26,"$9,875",,,,OK,3,"$7,100",OK,3,"$3,360",,,,,,,OK,2,"$1,052",,,,OK,81,"$60,650",OK,20,"$12,771",OK,51,"$4,342",OK,11,"$55,500",OK,1,"$2,603",OK,"11,274","$10,596,315",OK,7,"$101,350",OK,200,"$122,780",OK,2,"$1,004",OK,12,"$14,053",OK,663,"$65,898",OK,1,$250,OK,"4,399","$795,693",OK,1,"$10,000",,,,OK,121,"$36,186",OK,33,"$24,900.00",OK,283,"$17,814",OK,563,"$58,454",OK,4,"$21,000"
OR,43,35701,16338302.22,457.6427052,86%,1.26%,1.21%,OR,1,$25,OR,2,$115,OR,"4,459","$170,991",OR,"1,373","$73,665",OR,126,"$38,755",OR,23,"$1,190",OR,2,"$3,000",OR,11,"$2,300",OR,"2,222","$258,428",OR,16,"$6,656",OR,14,"$8,265",OR,16,"$45,225",,,,OR,4,$289,OR,135,"$5,097",OR,272,"$37,791",OR,15,"$8,726",OR,37,"$1,224",OR,151,"$10,588",OR,124,"$8,731",OR,14,"$1,486",OR,"3,848","$157,625",OR,58,"$9,615",,,,OR,1,$250,OR,2,$200,,,,OR,11,"$33,104",OR,2,"$1,037",,,,OR,244,"$26,959",OR,132,"$11,929",OR,244,"$5,897",OR,2,"$7,000",OR,2,$35,,,,OR,"12,014","$14,855,923",OR,975,"$78,726",OR,1,$5,OR,6,"$10,125",OR,"1,035","$71,992",,,,OR,"4,060","$131,925",OR,6,"$62,500",,,,OR,152,"$21,048",OR,253,"$41,659.22",OR,292,"$12,544",OR,"3,352","$115,257",OR,5,"$5,700"
PA,47,111146,39495228.24,355.3454757,94%,3.91%,2.92%,PA,6,"$7,572",PA,3,$270,PA,"3,914","$189,101",PA,"2,814","$174,508",PA,57,"$121,375",PA,23,$786,PA,8,"$1,010",PA,568,"$284,292",PA,"7,257","$1,758,159",PA,84,"$134,302",PA,37,"$27,350",PA,2,"$10,000",,,,PA,5,"$32,000",PA,334,"$11,850",PA,314,"$78,014",PA,95,"$56,367",PA,65,"$28,089",PA,157,"$37,540",PA,916,"$255,613",PA,73,"$23,188",PA,"5,543","$413,173",PA,61,"$16,220",PA,11,"$38,300.00",PA,2,"$2,850",PA,16,"$12,587",PA,1,"$2,500",PA,7,"$11,640",PA,11,"$13,449",PA,108,"$295,100",PA,324,"$87,191",PA,251,"$559,074",PA,575,"$129,594",,,,PA,40,"$127,959",PA,13,$35,PA,44,"$23,241",PA,"72,713","$33,577,354",PA,16,"$7,372",PA,48,"$24,443",PA,"1,523","$135,913",PA,4,"$15,100",PA,"8,480","$422,010",PA,13,"$112,000",,,,PA,664,"$289,489",PA,27,"$14,872.24",PA,549,"$33,534",PA,"3,942","$181,294",PA,4,"$2,850"
RI,39,7376,2559409,346.9914588,78%,0.26%,0.19%,,,,,,,RI,426,"$18,168",RI,160,"$8,528",RI,3,"$25,125",RI,5,$242,RI,6,"$2,319",RI,9,"$4,128",RI,473,"$62,498",RI,5,"$15,100",,,,,,,,,,,,,RI,14,$172,RI,38,"$5,584",RI,31,"$18,850",RI,4,$74,RI,84,"$14,002",RI,27,"$6,555",RI,177,"$77,649",RI,512,"$37,530",RI,4,"$1,100",,,,RI,1,$250,,,,RI,1,"$10,000",RI,3,"$12,500",RI,9,"$16,225",RI,2,"$7,800",RI,36,"$33,000",RI,33,"$59,503",RI,58,"$17,566",,,,,,,,,,RI,3,$350,RI,195,"$33,637",RI,"3,995","$1,998,582",RI,7,"$3,590",RI,120,"$2,875",RI,1,"$1,000",RI,494,"$19,647",RI,2,"$6,500",RI,1,"$1,000",RI,57,"$5,013",RI,3,$850.00,RI,20,"$1,996",RI,371,"$36,333",RI,1,$15
SC,43,32838,8498684,258.8063828,86%,1.16%,0.63%,SC,4,"$6,006",SC,1,$104,SC,796,"$34,470",SC,"1,068","$117,799",SC,43,$940,SC,10,$451,,,,SC,10,"$10,350",SC,"2,944","$1,156,634",SC,113,"$247,598",SC,1,"$1,000",SC,2,"$10,000",,,,SC,3,"$20,250",SC,199,"$4,400",SC,88,"$5,216",SC,45,"$15,645",SC,44,"$53,368",SC,36,"$7,800",SC,126,"$41,981",SC,4,"$3,015",SC,"1,134","$48,152",SC,34,"$7,613",SC,7,"$31,250.00",,,,SC,4,$113,,,,SC,30,"$8,351",SC,6,"$15,854",SC,2,"$3,500",SC,55,"$5,995",SC,28,"$50,922",SC,432,"$115,444",SC,1,"$5,000",SC,6,"$7,500",SC,1,$100,SC,3,"$2,450",SC,244,"$42,816",SC,8,"$6,250",SC,"19,246","$6,022,107",SC,709,"$55,586",SC,11,"$6,000",SC,"4,123","$142,477",,,,,,,SC,354,"$125,748",SC,14,"$1,770.00",SC,214,"$22,426",SC,645,"$44,583",,,
SD,37,17992,6332183,351.9443642,74%,0.63%,0.47%,,,,,,,SD,305,"$8,930",SD,233,"$14,915",SD,6,$185,SD,3,$147,,,,,,,SD,387,"$36,483",SD,1,"$7,600",,,,SD,2,$600,,,,SD,2,"$30,000",SD,110,"$282,785",SD,28,"$4,898",SD,2,$35,SD,2,$40,SD,6,$340,SD,25,$342,SD,4,$60,SD,235,"$14,760",SD,25,"$24,110",,,,SD,2,"$5,200",SD,16,"$8,004",SD,6,"$58,000",,,,,,,SD,2,"$9,800",SD,16,$370,SD,15,$500,SD,6,$95,SD,6,"$15,500",SD,2,"$13,754",SD,1,"$1,000",SD,5,$460,SD,76,"$107,002",,,,SD,2,$125,SD,"15,292","$5,635,035",,,,SD,901,"$32,724",,,,,,,SD,43,"$2,263",SD,21,$136.00,SD,38,"$2,814",SD,164,"$8,171",SD,2,"$5,000"
