States + DC,Count,# of Records,Total $,Average Contribution per Record,% of Total Races,% of Total Records,% of Total $,Alabama _Ivey_2022,# of Records,Total $,Alaska _Dunleavy_2022,# of Records,Total $,Arizona _Hobbs_2022,# of Records,Total $,Arkansas _Huckabee_Sanders_2022,# of Records,Total $,California _Newsom_2022,# of Records,Total $,Colorado _Polis_2022,# of Records,Total $,Connecticut _Lamont_2022,# of Records,Total $,Delaware _Meyer_2024,# of Records,Total $,Florida _DeSantis_2022,# of Records,Total $,Georgia _Kemp_2022,# of Records,Total $,Hawaii _Green_2022,# of Records,Total $,Idaho _Little_2022,# of Records,Total $,Illinois _Pritzker_2022,# of Records,Total $,Indiana _Braun_2024,# of Records,Total $,Iowa _Reynolds_2022,# of Records,Total $,Kansas _Kelly_2022,# of Records,Total $,Kentucky _Beshear_2023,# of Records,Total $,Louisiana _Landry_2023,# of Records,Total $,Maine _Mills_2022,# of Records,Total $,Maryland _Moore_2022,# of Records,Total $,Massachusetts _Healey_2022,# of Records,Total $,Michigan _Whitmer_2022,# of Records,Total $,Minnesota _Walz_2022,# of Records,Total $,Mississippi _Reeves_2023,# of Records,Total $,Missouri _Parson_2020,# of Records,Total $,Montana _Gianforte_2024,# of Records,Total $,Nebraska _Pillen_2022,# of Records,Total $,Nevada _Lombardo_2022,# of Records,Total $,New Hampshire _Ayotte_2024,# of Records,Total $,New Jersey _Murphy_2021,# of Records,Total $,New Mexico _Lujan_Grisham_2022,# of Records,Total $,New York _Hochul_2022,# of Records,Total $,North Carolina _Cooper_2020,# of Records,Total $,North Dakota _Armstrong_2024,# of Records,Total $,Ohio _DeWine_2022,# of Records,Total $,Oklahoma _Stitt_2022,# of Records,Total $,Oregon _Kotek_2022,# of Records,Total $,Pennsylvania _Shapiro_2022,# of Records,Total $,Rhode Island _McKee_2022,# of Records,Total $,South Carolina _McMaster_2022,# of Records,Total $,South Dakota _Noem_2022,# of Records,Total $,Tennessee _Lee_2022,# of Records,Total $,Texas _Abbott_2022,# of Records,Total $,Utah _Cox_2024,# of Records,Total $,Vermont _Scott_2024,# of Records,Total $,Virginia _Youngkin_2021,# of Records,Total $,Washington _Ferguson_2024,# of Records,Total $,West Virginia _Morrisey_2024,# of Records,Total $,Wisconsin _Evers_2022,# of Records,Total $,Wyoming _Gordon_2022,# of Records,Total $
TN,48,21508,11579904,538.3998512,96%,0.76%,0.86%,TN,19,"$137,789",TN,3,$100,TN,"1,062","$46,110",TN,"1,953","$402,790",TN,20,"$120,760",TN,10,$556,TN,1,$50,TN,3,"$1,500",TN,"4,020","$2,140,535",TN,126,"$441,116",TN,7,"$15,500",TN,9,"$37,000",,,,TN,7,"$45,450",TN,230,"$194,085",TN,63,"$12,276",TN,198,"$162,348",TN,51,"$8,350",TN,73,"$12,307",TN,94,"$14,674",TN,13,"$5,332",TN,"1,322","$105,670",TN,55,"$5,400",TN,84,"$234,880.00",TN,11,"$22,400",TN,21,"$19,590",TN,2,"$2,000",TN,16,"$42,775",TN,17,"$52,583",TN,4,"$15,200",TN,95,"$36,663",TN,41,"$79,067",TN,341,"$61,467",,,,TN,16,"$58,126",TN,16,"$36,850",TN,20,"$18,498",TN,388,"$42,991",TN,3,"$2,000",TN,30,"$45,516",TN,677,"$59,862",TN,"2,664","$5,964,209",TN,"5,552","$417,105",TN,4,"$20,104",TN,1,$200,TN,514,"$342,002",TN,9,"$2,165.00",TN,352,"$26,413",TN,"1,294","$59,090",TN,1,"$10,000"
TX,48,362531,152008265,419.2972876,96%,12.77%,11.25%,TX,14,"$37,931",TX,137,"$663,201",TX,"5,869","$292,013",TX,"7,362","$1,295,438",TX,180,"$389,949",TX,67,"$2,433",TX,2,$10,TX,49,"$12,968",TX,"12,470","$3,999,494",TX,205,"$1,067,702",TX,43,"$50,283",TX,10,"$18,750",,,,TX,80,"$337,961",TX,"1,088","$138,671",TX,493,"$116,599",TX,204,"$93,495",TX,590,"$839,373",TX,178,"$37,016",TX,477,"$102,828",TX,89,"$30,507",TX,"6,217","$563,410",TX,79,"$42,025",TX,74,"$575,404.48",,,,TX,73,"$61,676",TX,11,"$20,500",TX,46,"$41,101",TX,24,"$56,249",TX,36,"$77,800",TX,"1,223","$940,009",TX,192,"$370,525",TX,685,"$76,223",TX,26,"$116,965",TX,49,"$101,995",TX,282,"$511,541",TX,54,"$68,585",TX,"1,542","$201,398",TX,11,"$5,460",TX,80,"$84,175",TX,"3,691","$856,162",TX,48,"$154,350",TX,"309,847","$135,621,971",TX,26,"$60,011",TX,2,"$6,480",TX,"1,927","$1,449,856",TX,88,"$34,258.50",TX,"1,776","$133,910",TX,"4,845","$218,831",TX,21,"$43,750"
UT,45,10814,7695588,711.6319586,90%,0.38%,0.57%,UT,1,$16,UT,13,"$12,227",UT,732,"$35,588",UT,479,"$24,376",UT,12,"$139,900",UT,10,$299,,,,UT,9,"$2,250",UT,"1,828","$902,129",UT,10,"$23,000",UT,20,"$41,342",UT,30,"$126,750",,,,UT,2,"$25,000",UT,104,"$2,517",UT,42,"$6,953",UT,2,$200,UT,8,"$1,005",UT,29,"$2,028",UT,31,"$8,349",UT,8,"$3,584",UT,643,"$42,446",UT,19,"$2,050",UT,3,"$15,000.00",UT,1,$300,UT,1,$150,UT,3,"$20,000",UT,9,"$9,469",UT,2,"$2,000",UT,1,"$1,000",UT,58,"$86,175",UT,7,"$47,196",UT,59,"$23,714",UT,1,"$2,000",UT,4,"$373,740",UT,2,"$1,000",UT,10,"$1,175",UT,210,"$23,455",,,,,,,UT,468,"$23,310",UT,10,"$22,200",UT,"2,797","$93,474",UT,"2,244","$5,488,912",,,,UT,122,"$27,054",UT,9,"$1,145.00",UT,180,"$5,750",UT,589,"$27,110",UT,1,$500
VA,49,81789,61352880.86,750.1360924,98%,2.88%,4.54%,VA,13,"$50,077",VA,4,"$3,570",VA,"3,789","$168,828",VA,"2,094","$275,742",VA,57,"$108,605",VA,46,"$1,736",VA,11,"$8,305",VA,48,"$22,522",VA,"5,449","$1,926,489",VA,130,"$534,225",VA,52,"$58,335",VA,8,"$11,502",,,,VA,23,"$312,310",VA,315,"$38,171",VA,325,"$77,774",VA,145,"$87,824",VA,74,"$69,105",VA,187,"$36,088",VA,"1,166","$568,956",VA,121,"$48,165",VA,"4,403","$281,278",VA,88,"$34,843",VA,19,"$46,750.00",VA,8,"$5,577",VA,6,"$4,517",VA,10,"$66,000",VA,12,"$23,773",VA,83,"$103,966",VA,38,"$88,400",VA,296,"$82,427",VA,257,"$266,090",VA,"1,009","$206,525",VA,10,"$21,000",VA,179,"$6,199,998",VA,20,"$28,000",VA,30,"$13,528",VA,"1,658","$540,227",VA,16,"$8,659",VA,70,"$99,427",VA,"1,246","$159,194",VA,25,"$60,850",VA,"7,315","$441,464",VA,26,"$197,381",VA,1,"$2,000",VA,"46,758","$47,627,640",VA,26,"$14,231.86",VA,507,"$72,969",VA,"3,666","$262,664",VA,9,"$16,000"
VT,27,3997,541688,135.5236427,54%,0.14%,0.04%,,,,,,,VT,626,"$26,027",VT,96,"$9,470",VT,4,$200,VT,10,$579,VT,3,$211,,,,VT,312,"$19,303",,,,,,,,,,,,,,,,VT,21,$189,VT,19,"$1,660",,,,,,,VT,74,"$18,340",VT,42,"$2,033",VT,34,"$7,266",VT,660,"$26,615",VT,1,$500,,,,,,,,,,,,,,,,VT,6,"$9,577",,,,VT,44,"$16,852",VT,22,"$37,138",VT,58,"$3,195",,,,VT,1,$25,,,,VT,9,"$2,769",VT,137,"$18,179",,,,,,,VT,104,"$9,734",,,,VT,512,"$16,247",,,,VT,372,"$264,320",VT,20,"$1,184",VT,9,"$1,350.00",VT,11,$187,VT,793,"$48,749",,,
WA,46,107161,16233099.5,151.4832775,92%,3.77%,1.20%,WA,8,"$8,170",WA,36,"$34,316",WA,"7,294","$430,586",WA,"2,342","$210,865",WA,249,"$184,825",WA,46,"$2,111",WA,6,$106,WA,9,"$3,525",WA,"4,274","$290,000",WA,30,"$39,517",WA,58,"$50,175",WA,59,"$103,170",,,,WA,3,"$2,400",WA,294,"$6,916",WA,488,"$90,719",WA,43,"$8,926",WA,54,"$6,985",WA,122,"$28,233",WA,283,"$47,405",WA,54,"$7,634",WA,"6,360","$674,219",WA,90,"$37,277",WA,3,"$3,000.00",WA,3,"$5,800",WA,33,"$34,100",,,,WA,7,"$22,125",WA,4,"$5,955",WA,5,"$11,300",WA,585,"$126,898",WA,147,"$43,351",WA,434,"$52,772",WA,2,"$11,000",WA,3,"$4,604",WA,18,"$6,240",WA,259,"$1,171,315",WA,"1,719","$556,897",WA,2,$35,WA,14,"$7,408",WA,"1,789","$111,938",,,,WA,"6,971","$246,888",,,,WA,1,"$1,000",WA,283,"$153,092",WA,66212,"$10,949,238.50",WA,409,"$20,413",WA,"6,069","$422,781",WA,2,$500
WI,40,172185,34793216,202.0687981,80%,6.06%,2.58%,WI,1,$11,,,,WI,"1,250","$45,700",WI,"1,133","$115,941",WI,19,"$11,170",WI,23,$818,WI,3,$25,WI,2,"$1,325",WI,"2,821","$596,815",WI,16,"$26,704",WI,1,"$6,000",,,,,,,WI,9,"$573,500",WI,138,"$110,846",WI,107,"$7,135",WI,56,"$7,876",WI,33,"$2,085",WI,50,"$3,570",WI,97,"$10,732",WI,8,"$2,076",WI,"3,504","$230,770",WI,163,"$24,682",,,,,,,,,,WI,3,"$105,000",WI,3,"$4,250",WI,1,$500,WI,2,"$4,000",WI,120,"$21,658",WI,44,"$32,786",WI,164,"$6,998",WI,11,"$36,760",WI,3,"$5,525",,,,WI,10,"$1,863",WI,381,"$144,834",WI,3,$510,WI,3,$85,WI,757,"$81,539",,,,WI,"3,473","$256,110",,,,WI,1,"$1,000",WI,190,"$30,989",WI,2,$700.00,WI,227,"$8,513",WI,"157,358","$32,273,165",,,
WV,31,4354,457701,105.1219568,62%,0.15%,0.03%,WV,3,$71,,,,WV,202,"$12,536",WV,292,"$16,181",WV,1,$50,WV,1,$100,WV,1,$5,,,,WV,594,"$104,706",WV,7,"$1,292",,,,,,,,,,,,,WV,49,$871,WV,10,"$3,010",WV,43,"$56,199",WV,3,$45,WV,9,"$1,550",WV,45,"$9,318",WV,6,$96,WV,339,"$13,140",,,,,,,,,,,,,,,,,,,,,,,,,WV,17,$521,WV,6,$164,WV,41,$896,WV,1,"$5,000",WV,32,"$65,178",,,,WV,3,$725,WV,78,"$16,574",,,,WV,3,"$3,500",WV,163,"$14,377",,,,WV,905,"$28,605",WV,1,"$1,042",,,,WV,61,"$17,285",,,,WV,1223,"$76,281.00",WV,211,"$7,713",WV,5,$675
WY,41,4521,7207550,1594.238,82%,0.16%,0.53%,,,,WY,2,"$1,250",WY,117,"$15,826",WY,206,"$45,542",WY,2,$200,WY,5,$302,WY,6,"$3,800",WY,1,$500,WY,487,"$390,275",WY,9,"$5,508,586",WY,6,"$10,150",WY,3,"$3,700",,,,WY,1,"$2,500",,,,WY,6,"$1,762",WY,4,"$2,650",WY,9,"$5,265",WY,2,$500,WY,5,$147,,,,WY,199,"$21,270",WY,2,"$8,000",,,,,,,WY,13,"$13,200",WY,1,"$5,000",WY,4,"$8,940",WY,2,"$10,000",,,,WY,12,$560,WY,7,"$8,655",WY,4,$120,WY,4,"$7,000",WY,1,"$10,000",WY,2,"$5,800",WY,2,"$1,250",WY,64,"$6,035",WY,1,$5,WY,1,$25,WY,582,"$80,003",,,,WY,922,"$50,789",WY,5,"$111,000",,,,WY,63,"$50,470",WY,1,$250.00,WY,66,"$2,902",WY,139,"$24,543",WY,"1,560","$793,078"
Totals,,"2,840,023","$1,350,612,986.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Averages,42,"55,687","$26,482,607.58",$475.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of States + DC,Total Records,Total $,,,,,,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $,# of States,Total Records,Total $
43.22,57021,"$27,159,626",,,,,,37,1789,"$10,921,101",34,"5,348","$2,757,882.00",51,188656,"$15,764,905.00",51,96303,"$20,092,906.00",51,28266,"$22,955,421.00",49,13581,"$13,160,043.00",33,4908,"$3,797,731.00",37,6119,"$3,570,574.00",51,374447,"$210,509,785.00",47,29571,"$85,022,405.00",42,3533,"$4,033,898.00",38,5031,"$2,375,265.00",3,76,"$159,250,934.00",43,4556,"$18,760,056.00",50,39415,"$11,904,704.00",51,50233,"$7,788,376.00",50,34123,"$23,840,123.00",50,17549,"$16,181,693.00",51,33066,"$5,478,504.00",51,41487,"$14,367,826.00",50,29018,"$7,974,442.00",51,347274,"$37,507,269.00",48,34322,"$8,099,014.00",35,4358,"$13,237,772.43",33,7367,"$5,692,603.00",40,6128,"$3,189,000.00",33,1984,"$11,518,612.00",44,6139,"$10,594,043.00",37,2669,"$7,851,687.00",36,3603,"$23,950,979.00",51,44974,"$13,733,806.00",51,29706,"$54,620,341.00",51,102837,"$38,999,927.00",35,644,"$3,693,535.00",45,13293,"$31,778,290.00",40,12136,"$11,829,610.00",48,13643,"$29,266,602.00",51,117623,"$68,051,561.00",39,5004,"$2,548,131.00",47,20896,"$7,739,849.00",51,62005,"$14,258,496.00",35,3109,"$7,100,213.00",51,"550,880","$158,359,425.00",35,2523,"$7,438,596.00",21,420,"$311,290.00",51,64814,"$67,346,533.00",45,67918,"$11,642,806.23",51,16274,"$1,162,230.00",51,299693,"$44,924,818.00",35,1739,"$1,025,679.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $,,% of Records,% of $
AK,,,,,,,,AL,84.57%,75.22%,AK,94.37%,68.50%,AZ,26.85%,49.35%,AR,21.61%,56.43%,CA,91.06%,84.47%,CO,89.54%,99.57%,CT,89.59%,93.74%,DE,68.57%,74.62%,FL,57.72%,58.74%,GA,90.40%,70.28%,HI,76.11%,71.65%,ID,93.60%,70.12%,IL,88.16%,99.97%,IN,87.71%,67.09%,IA,70.78%,80.23%,KS,76.34%,65.90%,KY,85.24%,87.55%,LA,85.51%,87.79%,ME,78.85%,71.27%,MD,64.61%,58.09%,MA,88.94%,86.69%,MI,53.64%,60.87%,MN,92.05%,87.97%,MS,86.16%,69.16%,MO,93.67%,89.34%,MT,88.45%,83.69%,NE,89.21%,90.27%,NV,87.59%,86.27%,NH,70.14%,41.95%,NJ,66.83%,85.08%,NM,72.58%,61.71%,NY,80.35%,78.37%,NC,83.11%,89.58%,ND,71.27%,77.81%,OH,92.24%,72.01%,OK,92.90%,89.57%,OR,88.06%,50.76%,PA,61.82%,49.34%,RI,79.84%,78.43%,SC,92.10%,77.81%,SD,24.66%,39.52%,TN,85.69%,84.00%,TX,56.25%,85.64%,UT,88.94%,73.79%,VT,88.57%,84.91%,VA,72.14%,70.72%,WA,97.49%,94.04%,TX,10.91%,11.52%,WI,52.51%,71.84%,WY,89.71%,77.32%
AL,,,,,,,,DC,0.45%,18.56%,TX,2.56%,24.05%,CA,20.64%,15.93%,TX,7.64%,6.45%,TX,0.64%,1.70%,CA,2.33%,0.11%,NY,4.14%,3.13%,PA,9.28%,7.96%,DC,0.10%,11.49%,DC,0.34%,13.07%,CA,6.54%,7.81%,UT,0.60%,5.34%,DC,10.53%,0.02%,DC,0.53%,8.46%,SD,0.28%,2.38%,CA,4.37%,5.69%,FL,1.01%,1.27%,TX,3.36%,5.19%,MA,3.81%,4.89%,NY,6.12%,11.53%,NY,1.96%,2.57%,CA,9.45%,9.86%,CA,1.34%,2.23%,DC,0.73%,8.27%,KS,2.76%,4.25%,CA,1.94%,2.26%,IL,0.76%,1.06%,CA,4.07%,4.77%,DC,1.84%,35.77%,NY,13.68%,6.70%,TX,2.72%,6.84%,FL,1.88%,3.89%,NY,2.18%,2.26%,DC,2.17%,3.48%,VA,1.35%,19.51%,TX,2.32%,4.32%,DC,0.92%,33.47%,DC,0.80%,20.14%,MA,9.79%,10.36%,GA,0.89%,5.03%,DC,0.11%,20.62%,FL,2.22%,2.25%,CA,6.02%,2.86%,DC,1.27%,4.85%,FL,3.33%,2.25%,DC,0.48%,16.93%,CA,0.57%,1.33%,FL,10.05%,11.32%,CA,9.38%,6.28%,TX,1.21%,4.27%
AR,,,,,,,,TN,1.06%,1.26%,MN,0.02%,3.63%,NY,6.06%,5.58%,FL,7.09%,5.80%,FL,0.70%,1.58%,NY,0.76%,0.04%,FL,0.92%,0.74%,NY,3.73%,3.03%,NV,0.57%,5.72%,WY,0.03%,6.48%,NY,3.14%,2.64%,WA,1.17%,4.34%,MO,1.32%,0.00%,IL,1.98%,7.83%,FL,2.86%,2.18%,MO,2.03%,5.11%,OH,1.36%,1.26%,MS,0.48%,0.89%,NY,2.57%,4.72%,DC,3.49%,6.37%,FL,0.76%,1.25%,NY,4.38%,4.25%,NY,0.76%,1.46%,LA,2.87%,6.65%,FL,0.65%,1.76%,FL,1.63%,2.11%,IA,1.01%,1.03%,FL,1.58%,2.16%,MA,10.49%,8.46%,FL,2.91%,1.28%,CA,6.45%,6.51%,NJ,2.17%,3.86%,CA,2.72%,1.81%,TX,4.04%,3.17%,UT,0.03%,1.18%,FL,0.71%,1.19%,CA,3.42%,7.15%,CA,8.13%,12.14%,NY,2.04%,2.50%,NC,1.02%,3.55%,TX,5.95%,6.00%,TX,1.54%,2.17%,DC,0.07%,2.74%,CA,1.27%,3.11%,TX,0.48%,2.08%,TX,2.97%,2.15%,OH,0.04%,1.13%,CA,10.86%,10.22%,NY,4.18%,3.98%,DC,0.86%,3.46%
AZ,,,,,,,,GA,1.12%,1.24%,WA,0.67%,1.24%,MA,3.11%,2.96%,CA,10.37%,3.96%,DC,0.20%,1.42%,MA,0.43%,0.02%,MA,1.41%,0.52%,MD,2.70%,2.56%,IL,1.70%,3.59%,FL,1.30%,1.61%,VA,1.47%,1.45%,CO,0.87%,2.95%,AK,0.00%,0.00%,WI,0.20%,3.06%,IL,0.99%,1.84%,DC,0.94%,3.18%,NY,1.16%,1.03%,FL,0.74%,0.63%,CA,3.21%,4.33%,CA,4.45%,5.22%,DC,0.97%,1.21%,IL,2.72%,2.81%,DC,0.50%,1.25%,TX,1.70%,4.35%,IL,0.95%,1.11%,TX,1.19%,1.93%,WI,0.15%,0.91%,AZ,0.80%,0.60%,FL,4.38%,3.69%,CA,2.44%,1.26%,DC,0.51%,4.32%,CA,3.45%,2.78%,FL,1.19%,0.93%,MN,4.81%,2.66%,DC,1.02%,1.15%,AR,0.59%,0.88%,WA,1.90%,4.00%,NY,4.80%,5.23%,FL,1.76%,2.22%,FL,1.02%,2.72%,FL,5.96%,4.23%,DC,0.64%,1.11%,FL,4.68%,1.58%,VA,1.03%,2.65%,DC,0.71%,2.01%,FL,3.87%,2.15%,NY,0.16%,0.39%,WV,7.52%,6.56%,DC,0.60%,3.26%,CO,1.61%,2.08%
CA,,,,,,,,MS,0.50%,0.66%,FL,0.32%,0.57%,WA,3.87%,2.73%,TN,2.03%,2.00%,NY,0.98%,1.13%,DC,0.38%,0.02%,CA,1.22%,0.48%,NJ,1.90%,2.22%,CA,5.41%,3.14%,NV,0.16%,1.34%,DC,1.10%,1.42%,AZ,0.40%,2.54%,AL,0.00%,0.00%,FL,1.32%,2.36%,TN,0.58%,1.63%,NY,1.94%,3.11%,CA,1.37%,0.80%,CA,1.37%,0.49%,DC,1.06%,2.83%,VA,2.81%,3.96%,NH,0.82%,1.11%,DC,0.53%,2.07%,FL,0.52%,0.93%,FL,0.92%,2.22%,CA,0.33%,0.77%,WA,0.54%,1.07%,IN,0.10%,0.88%,NY,0.36%,0.53%,ME,0.82%,1.40%,PA,3.00%,1.23%,NY,2.04%,2.77%,DC,0.96%,2.22%,DC,0.65%,0.65%,CO,0.62%,1.57%,FL,0.85%,1.12%,DC,0.31%,0.64%,NY,0.89%,1.12%,FL,2.22%,2.56%,CT,1.38%,1.17%,MO,0.15%,1.35%,CA,8.84%,3.68%,GA,0.84%,0.97%,NV,0.75%,1.07%,NY,0.40%,2.03%,MO,0.71%,1.60%,CA,3.72%,0.82%,DC,0.09%,0.37%,VA,3.12%,6.28%,IL,4.55%,2.69%,OK,0.23%,2.05%
CO,,,,,,,,FL,1.79%,0.54%,UT,0.24%,0.44%,IL,2.95%,2.11%,MO,1.73%,1.76%,WA,0.88%,0.81%,FL,0.51%,0.02%,DC,0.26%,0.30%,DC,1.94%,1.68%,NY,2.64%,2.55%,TX,0.69%,1.26%,TX,1.22%,1.25%,DC,0.42%,2.47%,AR,0.00%,0.00%,TX,1.76%,1.80%,GA,0.84%,1.33%,CO,0.91%,2.12%,IN,0.85%,0.73%,VA,0.42%,0.43%,FL,1.37%,1.99%,FL,1.82%,2.75%,CT,0.59%,1.06%,MA,1.97%,1.90%,TX,0.23%,0.52%,TN,1.93%,1.77%,TN,0.15%,0.39%,NV,0.55%,1.03%,KS,1.16%,0.79%,IL,0.70%,0.50%,VA,3.11%,1.32%,DC,2.25%,1.06%,CO,1.31%,2.24%,CT,1.08%,1.54%,VA,0.98%,0.53%,OH,1.40%,1.52%,CA,0.55%,0.52%,KS,0.30%,0.63%,MD,0.37%,0.65%,MD,1.88%,1.38%,NJ,0.62%,0.99%,VA,0.33%,1.28%,MN,3.21%,1.66%,MI,0.71%,0.87%,OK,0.80%,0.50%,CO,0.67%,1.93%,NH,0.48%,1.60%,GA,0.78%,0.81%,OR,0.37%,0.36%,OH,2.94%,4.17%,MA,2.19%,1.55%,VA,0.52%,1.56%
