States + DC,Count,# of Records,Total $,Average Contribution per Record,% of Total Races,% of Total Records,% of Total $,Alabama _Ivey_2022,# of Records,Total $,Alaska _Dunleavy_2022,# of Records,Total $,Arizona _Hobbs_2022,# of Records,Total $,Arkansas _Huckabee_Sanders_2022,# of Records,Total $,California _Newsom_2022,# of Records,Total $,Colorado _Polis_2022,# of Records,Total $,Connecticut _Lamont_2022,# of Records,Total $,Delaware _Meyer_2024,# of Records,Total $,Florida _DeSantis_2022,# of Records,Total $,Georgia _Kemp_2022,# of Records,Total $,Hawaii _Green_2022,# of Records,Total $,Idaho _Little_2022,# of Records,Total $,Illinois _Pritzker_2022,# of Records,Total $,Indiana _Braun_2024,# of Records,Total $,Iowa _Reynolds_2022,# of Records,Total $,Kansas _Kelly_2022,# of Records,Total $,Kentucky _Beshear_2023,# of Records,Total $,Louisiana _Landry_2023,# of Records,Total $,Maine _Mills_2022,# of Records,Total $,Maryland _Moore_2022,# of Records,Total $,Massachusetts _Healey_2022,# of Records,Total $,Michigan _Whitmer_2022,# of Records,Total $,Minnesota _Walz_2022,# of Records,Total $,Mississippi _Reeves_2023,# of Records,Total $,Missouri _Parson_2020,# of Records,Total $,Montana _Gianforte_2024,# of Records,Total $,Nebraska _Pillen_2022,# of Records,Total $,Nevada _Lombardo_2022,# of Records,Total $,New Hampshire _Ayotte_2024,# of Records,Total $,New Jersey _Murphy_2021,# of Records,Total $,New Mexico _Lujan_Grisham_2022,# of Records,Total $,New York _Hochul_2022,# of Records,Total $,North Carolina _Cooper_2020,# of Records,Total $,North Dakota _Armstrong_2024,# of Records,Total $,Ohio _DeWine_2022,# of Records,Total $,Oklahoma _Stitt_2022,# of Records,Total $,Oregon _Kotek_2022,# of Records,Total $,Pennsylvania _Shapiro_2022,# of Records,Total $,Rhode Island _McKee_2022,# of Records,Total $,South Carolina _McMaster_2022,# of Records,Total $,South Dakota _Noem_2022,# of Records,Total $,Tennessee _Lee_2022,# of Records,Total $,Texas _Abbott_2022,# of Records,Total $,Utah _Cox_2024,# of Records,Total $,Vermont _Scott_2024,# of Records,Total $,Virginia _Youngkin_2021,# of Records,Total $,Washington _Ferguson_2024,# of Records,Total $,West Virginia _Morrisey_2024,# of Records,Total $,Wisconsin _Evers_2022,# of Records,Total $,Wyoming _Gordon_2022,# of Records,Total $
NE,,,,,,,,HI,0.06%,0.00%,KY,0.02%,0.00%,SC,0.42%,0.22%,MA,1.21%,0.37%,ME,0.03%,0.07%,AR,0.06%,0.00%,DE,0.02%,0.00%,TN,0.05%,0.04%,CO,1.04%,0.17%,OK,0.09%,0.05%,IA,0.06%,0.15%,KS,0.04%,0.08%,NE,0.00%,0.00%,IA,0.04%,0.05%,OK,0.46%,0.04%,IA,0.09%,0.11%,SC,0.13%,0.07%,KS,0.12%,0.07%,LA,0.05%,0.11%,WV,0.11%,0.06%,SC,0.01%,0.04%,KY,0.33%,0.13%,IN,0.21%,0.08%,MA,0.05%,0.02%,ME,0.01%,0.00%,OH,0.03%,0.03%,NJ,0.05%,0.02%,LA,0.05%,0.07%,ND,0.04%,0.03%,MN,0.03%,0.02%,OR,0.54%,0.20%,VT,0.07%,0.07%,NM,0.12%,0.04%,MA,0.16%,0.07%,WY,0.01%,0.03%,NH,0.03%,0.02%,HI,0.10%,0.01%,NV,0.19%,0.05%,NC,0.06%,0.01%,IA,0.01%,0.08%,OK,1.07%,0.46%,AR,0.10%,0.06%,SC,0.75%,0.09%,MI,0.08%,0.05%,ID,0.00%,0.00%,NE,0.10%,0.06%,TN,0.01%,0.02%,WI,1.39%,0.73%,ME,0.23%,0.09%,WA,0.12%,0.05%
NH,,,,,,,,OR,0.06%,0.00%,AR,0.02%,0.00%,IA,0.30%,0.20%,DC,0.10%,0.36%,NE,0.02%,0.07%,MN,0.14%,0.00%,TX,0.04%,0.00%,WI,0.03%,0.04%,AL,0.63%,0.16%,WA,0.10%,0.05%,OK,0.03%,0.15%,NJ,0.12%,0.07%,NH,0.00%,0.00%,NH,0.04%,0.05%,OR,0.34%,0.04%,ME,0.08%,0.11%,MS,0.04%,0.06%,IN,0.18%,0.06%,IA,0.05%,0.10%,KY,0.10%,0.06%,MI,0.08%,0.04%,SC,0.33%,0.13%,TN,0.16%,0.07%,MN,0.05%,0.02%,OR,0.01%,0.00%,KS,0.08%,0.03%,TN,0.10%,0.02%,AL,0.10%,0.06%,MS,0.04%,0.03%,IN,0.06%,0.02%,MN,0.36%,0.18%,KS,0.10%,0.06%,AL,0.09%,0.03%,AZ,0.31%,0.05%,KS,0.03%,0.03%,NM,0.13%,0.02%,NE,0.07%,0.01%,KY,0.13%,0.05%,ME,0.02%,0.00%,KS,0.06%,0.08%,TN,1.09%,0.42%,NV,0.03%,0.06%,MS,0.38%,0.09%,DE,0.04%,0.04%,IN,0.00%,0.00%,OK,0.19%,0.05%,HI,0.02%,0.02%,ME,0.61%,0.60%,RI,0.12%,0.08%,ID,0.06%,0.02%
NJ,,,,,,,,UT,0.06%,0.00%,MA,0.02%,0.00%,IN,0.59%,0.18%,MN,1.14%,0.36%,LA,0.08%,0.05%,OK,0.10%,0.00%,WV,0.02%,0.00%,KY,0.02%,0.03%,WA,1.14%,0.14%,MA,0.13%,0.04%,WI,0.03%,0.15%,IN,0.06%,0.05%,NJ,0.00%,0.00%,OK,0.09%,0.03%,DE,0.08%,0.04%,WI,0.21%,0.09%,AR,0.39%,0.05%,TN,0.29%,0.05%,HI,0.06%,0.08%,OR,0.30%,0.06%,OH,0.16%,0.03%,UT,0.19%,0.11%,LA,0.05%,0.06%,NY,0.07%,0.01%,RI,0.01%,0.00%,DE,0.05%,0.02%,AL,0.05%,0.01%,AR,0.02%,0.05%,UT,0.07%,0.03%,WI,0.06%,0.02%,NC,0.44%,0.18%,OH,0.32%,0.06%,KY,0.14%,0.03%,MS,0.31%,0.05%,MS,0.05%,0.02%,DE,0.01%,0.02%,VT,0.07%,0.01%,RI,0.17%,0.05%,WA,0.04%,0.00%,NV,0.06%,0.08%,MA,1.06%,0.39%,AZ,0.10%,0.06%,OR,0.74%,0.08%,ID,0.08%,0.02%,KS,0.00%,0.00%,LA,0.33%,0.05%,SC,0.02%,0.02%,AL,0.80%,0.57%,IA,0.36%,0.08%,ME,0.06%,0.02%
NM,,,,,,,,ID,0.06%,0.00%,NM,0.02%,0.00%,OK,0.25%,0.17%,NV,1.27%,0.35%,WI,0.07%,0.05%,ME,0.11%,0.00%,IL,0.02%,0.00%,LA,0.02%,0.03%,OR,0.59%,0.12%,KY,0.06%,0.04%,ID,0.06%,0.10%,AK,0.02%,0.04%,NM,0.00%,0.00%,ND,0.02%,0.03%,SC,0.50%,0.04%,UT,0.08%,0.09%,WA,0.13%,0.04%,WA,0.31%,0.04%,WI,0.15%,0.07%,UT,0.07%,0.06%,DE,0.02%,0.03%,LA,0.16%,0.11%,ND,0.02%,0.05%,DE,0.02%,0.01%,AK,0.01%,0.00%,AK,0.07%,0.02%,MT,0.05%,0.00%,IN,0.02%,0.05%,OK,0.07%,0.01%,SC,0.06%,0.01%,IA,0.10%,0.17%,AZ,0.24%,0.06%,AR,0.05%,0.02%,UT,0.16%,0.05%,SC,0.05%,0.02%,CT,0.02%,0.02%,SC,0.02%,0.01%,AR,0.10%,0.05%,NM,0.02%,0.00%,NM,0.03%,0.07%,SC,1.14%,0.39%,RI,0.03%,0.01%,NM,0.45%,0.06%,WV,0.04%,0.01%,KY,0.00%,0.00%,WI,0.29%,0.05%,VT,0.01%,0.01%,NM,0.66%,0.56%,NV,0.21%,0.07%,GA,0.06%,0.01%
NV,,,,,,,,WI,0.06%,0.00%,IN,0.02%,0.00%,VT,0.33%,0.17%,ID,0.54%,0.24%,KY,0.08%,0.05%,GA,0.08%,0.00%,AK,0.00%,0.00%,MN,0.05%,0.03%,LA,0.45%,0.11%,WI,0.05%,0.03%,KS,0.03%,0.06%,MI,0.04%,0.04%,NV,0.00%,0.00%,DE,0.02%,0.01%,MS,0.20%,0.04%,AR,0.06%,0.09%,OR,0.04%,0.04%,MT,0.05%,0.03%,AR,0.02%,0.06%,RI,0.07%,0.05%,WI,0.03%,0.03%,IA,0.27%,0.11%,MI,0.05%,0.05%,ID,0.02%,0.01%,AZ,0.00%,0.00%,AR,0.02%,0.02%,AK,0.00%,0.00%,MI,0.05%,0.05%,OR,0.07%,0.01%,ID,0.03%,0.01%,WI,0.27%,0.16%,WI,0.15%,0.06%,WI,0.16%,0.02%,NE,0.16%,0.03%,AL,0.04%,0.02%,SD,0.01%,0.01%,WI,0.07%,0.01%,ME,0.18%,0.05%,MN,0.04%,0.00%,HI,0.03%,0.06%,IN,0.96%,0.37%,NH,0.03%,0.01%,KS,0.52%,0.06%,AZ,0.08%,0.01%,LA,0.00%,0.00%,UT,0.19%,0.04%,UT,0.01%,0.01%,MA,0.96%,0.55%,UT,0.20%,0.06%,MN,0.12%,0.00%
NY,,,,,,,,IA,0.06%,0.00%,AL,0.00%,0.00%,KS,0.30%,0.14%,KY,0.89%,0.23%,MT,0.02%,0.05%,KY,0.04%,0.00%,AL,0.00%,0.00%,OK,0.65%,0.03%,NH,0.28%,0.08%,DE,0.03%,0.03%,LA,0.08%,0.05%,MN,0.02%,0.04%,NY,0.00%,0.00%,WY,0.02%,0.01%,AL,0.32%,0.03%,NE,0.13%,0.08%,NH,0.04%,0.04%,WY,0.05%,0.03%,OK,0.04%,0.06%,NE,0.06%,0.05%,LA,0.01%,0.03%,ME,0.24%,0.10%,NH,0.02%,0.04%,NE,0.02%,0.01%,DE,0.00%,0.00%,MN,0.10%,0.01%,CT,0.00%,0.00%,WI,0.05%,0.04%,WI,0.04%,0.01%,IA,0.03%,0.00%,AK,0.10%,0.14%,NE,0.09%,0.05%,KS,0.06%,0.02%,NJ,0.16%,0.03%,WI,0.02%,0.02%,UT,0.02%,0.01%,MS,0.01%,0.01%,NM,0.31%,0.04%,IA,0.02%,0.00%,KY,0.01%,0.06%,NE,1.02%,0.36%,OK,0.03%,0.00%,UT,0.51%,0.06%,CT,0.08%,0.00%,MI,0.00%,0.00%,KY,0.20%,0.04%,MN,0.03%,0.01%,ID,1.05%,0.52%,AR,0.14%,0.06%,RI,0.06%,0.00%
OH,,,,,,,,NV,0.06%,0.00%,CT,0.00%,0.00%,NH,0.28%,0.14%,WY,0.21%,0.23%,OK,0.02%,0.04%,WY,0.04%,0.00%,AR,0.00%,0.00%,WY,0.02%,0.01%,AR,0.27%,0.06%,UT,0.03%,0.03%,ME,0.06%,0.03%,SD,0.04%,0.03%,OH,0.00%,0.00%,WA,0.07%,0.01%,LA,0.56%,0.03%,RI,0.08%,0.07%,WI,0.16%,0.03%,ME,0.06%,0.03%,DE,0.08%,0.05%,AR,0.10%,0.04%,AZ,0.07%,0.02%,RI,0.15%,0.10%,AK,0.00%,0.04%,AK,0.00%,0.00%,HI,0.00%,0.00%,NC,0.05%,0.01%,DE,0.00%,0.00%,MS,0.05%,0.03%,DE,0.04%,0.00%,UT,0.03%,0.00%,VT,0.10%,0.12%,NM,0.24%,0.03%,AZ,0.19%,0.02%,AK,0.00%,0.00%,NV,0.02%,0.02%,AL,0.02%,0.01%,MI,0.07%,0.00%,UT,0.18%,0.03%,OR,0.02%,0.00%,MT,0.04%,0.05%,ND,0.59%,0.34%,AK,0.00%,0.00%,NE,0.42%,0.06%,AK,0.00%,0.00%,MN,0.00%,0.00%,MN,0.23%,0.03%,RI,0.00%,0.01%,UT,1.11%,0.49%,KS,0.21%,0.06%,AK,0.00%,0.00%
OK,,,,,,,,MN,0.06%,0.00%,DE,0.00%,0.00%,ID,0.21%,0.13%,IA,0.71%,0.20%,NC,0.17%,0.02%,UT,0.07%,0.00%,HI,0.00%,0.00%,HI,0.08%,0.01%,WV,0.16%,0.05%,IA,0.03%,0.02%,IN,0.03%,0.02%,NE,0.04%,0.01%,OK,0.00%,0.00%,AL,0.07%,0.01%,ND,0.12%,0.02%,SC,0.18%,0.07%,KS,0.02%,0.02%,NE,0.17%,0.02%,KS,0.03%,0.05%,IA,0.10%,0.04%,OR,0.05%,0.02%,AR,0.12%,0.10%,AL,0.06%,0.03%,HI,0.00%,0.00%,KY,0.00%,0.00%,OR,0.03%,0.01%,HI,0.00%,0.00%,MA,0.08%,0.03%,AL,0.04%,0.00%,AK,0.00%,0.00%,NE,0.06%,0.12%,LA,0.09%,0.03%,OR,0.24%,0.02%,AL,0.00%,0.00%,WA,0.02%,0.01%,MA,0.01%,0.00%,NM,0.07%,0.00%,NH,0.12%,0.03%,WY,0.02%,0.00%,NE,0.04%,0.05%,NJ,1.33%,0.33%,DE,0.00%,0.00%,ID,0.38%,0.05%,HI,0.00%,0.00%,MS,0.00%,0.00%,OR,0.23%,0.03%,WI,0.00%,0.01%,CT,0.61%,0.42%,WY,0.05%,0.05%,AL,0.00%,0.00%
OR,,,,,,,,AK,0.00%,0.00%,IA,0.00%,0.00%,KY,0.23%,0.12%,NM,0.55%,0.18%,NH,0.07%,0.01%,RI,0.04%,0.00%,IA,0.00%,0.00%,AK,0.00%,0.00%,OK,0.41%,0.05%,RI,0.02%,0.02%,MS,0.03%,0.02%,MA,0.02%,0.00%,OR,0.00%,0.00%,MS,0.09%,0.01%,UT,0.26%,0.02%,ID,0.09%,0.06%,NE,0.01%,0.02%,WI,0.19%,0.01%,NV,0.02%,0.05%,ME,0.15%,0.04%,NM,0.02%,0.02%,KS,0.24%,0.09%,UT,0.06%,0.03%,IA,0.00%,0.00%,MA,0.00%,0.00%,UT,0.02%,0.00%,KY,0.00%,0.00%,IA,0.02%,0.02%,AK,0.00%,0.00%,AL,0.00%,0.00%,OH,0.55%,0.12%,AR,0.03%,0.02%,OK,0.05%,0.01%,CT,0.00%,0.00%,LA,0.02%,0.01%,ID,0.01%,0.00%,ME,0.04%,0.00%,LA,0.14%,0.03%,MI,0.02%,0.00%,RI,0.03%,0.05%,ID,0.76%,0.31%,HI,0.00%,0.00%,KY,0.42%,0.05%,IA,0.00%,0.00%,MT,0.00%,0.00%,WV,0.09%,0.03%,KY,0.00%,0.00%,KS,0.54%,0.32%,NH,0.16%,0.05%,DE,0.00%,0.00%
PA,,,,,,,,CO,0.00%,0.00%,KS,0.00%,0.00%,AL,0.23%,0.12%,ME,0.29%,0.17%,IN,0.03%,0.01%,NE,0.03%,0.00%,ID,0.00%,0.00%,AL,0.00%,0.00%,NE,0.26%,0.04%,SD,0.00%,0.01%,NH,0.03%,0.02%,CT,0.00%,0.00%,PA,0.00%,0.00%,CO,0.04%,0.01%,ID,0.34%,0.02%,SD,0.06%,0.06%,HI,0.05%,0.01%,OR,0.21%,0.01%,NM,0.13%,0.04%,LA,0.14%,0.04%,IA,0.01%,0.02%,NE,0.12%,0.07%,ID,0.01%,0.02%,ME,0.00%,0.00%,MI,0.00%,0.00%,SC,0.07%,0.00%,LA,0.00%,0.00%,ND,0.02%,0.02%,HI,0.00%,0.00%,AR,0.00%,0.00%,KY,0.12%,0.09%,OK,0.07%,0.02%,NV,0.06%,0.01%,DE,0.00%,0.00%,OK,0.01%,0.01%,SC,0.01%,0.00%,AK,0.01%,0.00%,VT,0.12%,0.03%,MS,0.02%,0.00%,NH,0.02%,0.05%,CT,0.67%,0.28%,IA,0.00%,0.00%,MT,0.21%,0.04%,KY,0.00%,0.00%,ND,0.00%,0.00%,MT,0.13%,0.02%,NE,0.00%,0.00%,AR,0.52%,0.31%,KY,0.26%,0.05%,HI,0.00%,0.00%
RI,,,,,,,,CT,0.00%,0.00%,ME,0.00%,0.00%,LA,0.30%,0.12%,MT,0.36%,0.13%,HI,0.12%,0.01%,AK,0.03%,0.00%,KS,0.00%,0.00%,AR,0.00%,0.00%,ID,0.36%,0.03%,OR,0.05%,0.01%,SC,0.03%,0.02%,DE,0.00%,0.00%,RI,0.00%,0.00%,MT,0.04%,0.00%,NM,0.27%,0.02%,HI,0.21%,0.06%,IA,0.02%,0.01%,UT,0.05%,0.01%,UT,0.09%,0.04%,MT,0.04%,0.04%,ID,0.01%,0.01%,VT,0.19%,0.07%,NE,0.06%,0.02%,MT,0.00%,0.00%,MS,0.00%,0.00%,IA,0.02%,0.00%,ME,0.00%,0.00%,NM,0.10%,0.01%,IA,0.00%,0.00%,HI,0.00%,0.00%,MI,0.35%,0.07%,OR,0.44%,0.02%,NH,0.07%,0.01%,HI,0.00%,0.00%,ND,0.01%,0.01%,PA,0.11%,0.00%,WY,0.01%,0.00%,KS,0.13%,0.03%,AL,0.00%,0.00%,WV,0.01%,0.05%,KY,0.60%,0.23%,ID,0.00%,0.00%,IA,0.31%,0.04%,MA,0.00%,0.00%,NE,0.00%,0.00%,ID,0.14%,0.02%,MI,0.01%,0.00%,MT,0.35%,0.29%,DE,0.15%,0.05%,IA,0.00%,0.00%
